Category_Type,Category_Name,Date
Top Trending Employers,UC Davis Health,Jan-21
Top Trending Employers,"University of California, Davis",Jan-21
Top Trending Jobs,Real Estate Agent,Jan-21
Top Trending Jobs,Nurse,Jan-21
Top Trending Jobs,Project Manager,Jan-21
Top Trending Jobs,Software Engineer,Jan-21
Top Trending Jobs,Account Executive,Jan-21
Top Trending Jobs,Attorney,Jan-21
Top Trending Jobs,Salesperson,Jan-21
Top Trending Jobs,Sales Manager,Jan-21
Top Trending Skills,JavaScript,Jan-21
Top Trending Skills,Sales Management,Jan-21
Top Trending Skills,Investment Properties,Jan-21
Top Trending Skills,Working with First-Time Home Buyers,Jan-21
Top Trending Skills,Legal Writing,Jan-21
Top Trending Skills,Construction Management,Jan-21
Top Trending Skills,Account Management,Jan-21
Top Trending Skills,Civil Litigation,Jan-21
Top Trending Skills,Sales Operations,Jan-21
Top Trending Skills,Nursing,Jan-21
Top Trending Skills,Basic Life Support (BLS),Jan-21
